question_id,db_id,question
133,bike_1,Which start station had the most trips starting from August? Give me the name and id of the station.
134,bike_1,What are the start station's name and id for the one that had the most start trips in August?
135,bike_1,Which bike traveled the most often in zip code 94002?
136,bike_1,What is the id of the bike that traveled the most in 94002?
137,bike_1,How many days had both mean humidity above 50 and mean visibility above 8?
138,bike_1,What is the number of days that had an average humity above 50 and an average visibility above 8?
139,bike_1,"What is the latitude, longitude, city of the station from which the shortest trip started?"
140,bike_1,"What is the latitude, longitude, and city of the station from which the trip with smallest duration started?"
141,bike_1,What are the ids of stations that are located in San Francisco and have average bike availability above 10.
142,bike_1,What are the ids of the stations in San Francisco that normally have more than 10 bikes available?
143,bike_1,What are the names and ids of stations that had more than 14 bikes available on average or were installed in December?
144,bike_1,What are the names and ids of all stations that have more than 14 bikes available on average or had bikes installed in December?
145,bike_1,What is the 3 most common cloud cover rates in the region of zip code 94107?
146,bike_1,What are the 3 most common cloud covers in the zip code of 94107?
147,bike_1,What is the zip code in which the average mean sea level pressure is the lowest?
148,bike_1,What is the zip code that has the lowest average mean sea level pressure?
149,bike_1,What is the average bike availability in stations that are not located in Palo Alto?
150,bike_1,What is the average bike availablility for stations not in Palo Alto?
151,bike_1,What is the average longitude of stations that never had bike availability more than 10?
152,bike_1,What is the mean longitude for all stations that have never had more than 10 bikes available?
153,bike_1,When and in what zip code did max temperature reach 80?
154,bike_1,What zip codes have a station with a max temperature greater than or equal to 80 and when did it reach that temperature?
155,bike_1,Give me ids for all the trip that took place in a zip code area with average mean temperature above 60.
156,bike_1,"For each zip code, find the ids of all trips that have a higher average mean temperature above 60?"
157,bike_1,"For each zip code, return how many times max wind speed reached 25?"
158,bike_1,"For each zip code, how many times has the maximum wind speed reached 25 mph?"
159,bike_1,On which day and in which zip code was the min dew point lower than any day in zip code 94107?
160,bike_1,"Which days had a minimum dew point smaller than any day in zip code 94107, and in which zip codes were those measurements taken?"
161,bike_1,"For each trip, return its ending station's installation date."
162,bike_1,What is the installation date for each ending station on all the trips?
163,bike_1,Which trip started from the station with the largest dock count? Give me the trip id.
164,bike_1,What is the id of the trip that started from the station with the highest dock count?
165,bike_1,Count the number of trips that did not end in San Francisco city.
166,bike_1,How many trips did not end in San Francisco?
167,bike_1,"In zip code 94107, on which day neither Fog nor Rain was not observed?"
168,bike_1,On which day has it neither been foggy nor rained in the zip code of 94107?
169,bike_1,What are the ids of stations that have latitude above 37.4 and never had bike availability below 7?
170,bike_1,What are the ids of all stations that have a latitude above 37.4 and have never had less than 7 bikes available?
171,bike_1,What are names of stations that have average bike availability above 10 and are not located in San Jose city?
172,bike_1,What are the names of all stations that have more than 10 bikes available and are not located in San Jose?
173,bike_1,"What are the name, latitude, and city of the station with the lowest latitude?"
174,bike_1,"What is the name, latitude, and city of the station that is located the furthest South?"
175,bike_1,"What are the date, mean temperature and mean humidity for the top 3 days with the largest max gust speeds?"
176,bike_1,"What is the date, average temperature and mean humidity for the days with the 3 largest maximum gust speeds?"
177,bike_1,List the name and the number of stations for all the cities that have at least 15 stations.
178,bike_1,What is the name of every city that has at least 15 stations and how many stations does it have?
179,bike_1,Find the ids and names of stations from which at least 200 trips started.
180,bike_1,What are the ids and names of all start stations that were the beginning of at least 200 trips?
181,bike_1,Find the zip code in which the average mean visibility is lower than 10.
182,bike_1,"For each zip code, select all those that have an average mean visiblity below 10."
183,bike_1,List all the cities in a decreasing order of each city's stations' highest latitude.
184,bike_1,"For each city, list their names in decreasing order by their highest station latitude."
185,bike_1,What are the dates that had the top 5 cloud cover rates? Also tell me the cloud cover rate.
186,bike_1,What are the dates that have the 5 highest cloud cover rates and what are the rates?
187,bike_1,What are the ids and durations of the trips with the top 3 durations?
188,bike_1,What are the ids of the trips that lasted the longest and how long did they last?
189,bike_1,"For each station, return its longitude and the average duration of trips that started from the station."
190,bike_1,"For each start station id, what is its name, longitude and average duration of trips started there?"
191,bike_1,"For each station, find its latitude and the minimum duration of trips that ended at the station."
192,bike_1,"For each end station id, what is its name, latitude, and minimum duration for trips ended there?"
193,bike_1,List all the distinct stations from which a trip of duration below 100 started.
194,bike_1,What are all the different start station names for a trip that lasted less than 100?
195,bike_1,Find all the zip codes in which the max dew point have never reached 70.
196,bike_1,What are all the different zip codes that have a maximum dew point that was always below 70?
197,bike_1,Find the id for the trips that lasted at least as long as the average duration of trips in zip code 94103.
198,bike_1,What are the ids of all trips that had a duration as long as the average trip duration in the zip code 94103?
199,bike_1,What are the dates in which the mean sea level pressure was between 30.3 and 31?
