question_id,db_id,question
133,bike_1,Which start station had the most trips starting from August? Give me the name and id of the station.
134,bike_1,What are the start station's name and id for the one that had the most start trips in August?
135,bike_1,Which bike traveled the most often in zip code 94002?
136,bike_1,What is the id of the bike that traveled the most in 94002?
137,bike_1,How many days had both mean humidity above 50 and mean visibility above 8?
138,bike_1,What is the number of days that had an average humity above 50 and an average visibility above 8?
139,bike_1,"What is the latitude, longitude, city of the station from which the shortest trip started?"
140,bike_1,"What is the latitude, longitude, and city of the station from which the trip with smallest duration started?"
141,bike_1,What are the ids of stations that are located in San Francisco and have average bike availability above 10.
142,bike_1,What are the ids of the stations in San Francisco that normally have more than 10 bikes available?
143,bike_1,What are the names and ids of stations that had more than 14 bikes available on average or were installed in December?
144,bike_1,What are the names and ids of all stations that have more than 14 bikes available on average or had bikes installed in December?
145,bike_1,What is the 3 most common cloud cover rates in the region of zip code 94107?
146,bike_1,What are the 3 most common cloud covers in the zip code of 94107?
147,bike_1,What is the zip code in which the average mean sea level pressure is the lowest?
148,bike_1,What is the zip code that has the lowest average mean sea level pressure?
149,bike_1,What is the average bike availability in stations that are not located in Palo Alto?
150,bike_1,What is the average bike availablility for stations not in Palo Alto?
151,bike_1,What is the average longitude of stations that never had bike availability more than 10?
152,bike_1,What is the mean longitude for all stations that have never had more than 10 bikes available?
153,bike_1,When and in what zip code did max temperature reach 80?
154,bike_1,What zip codes have a station with a max temperature greater than or equal to 80 and when did it reach that temperature?
155,bike_1,Give me ids for all the trip that took place in a zip code area with average mean temperature above 60.
156,bike_1,"For each zip code, find the ids of all trips that have a higher average mean temperature above 60?"
157,bike_1,"For each zip code, return how many times max wind speed reached 25?"
158,bike_1,"For each zip code, how many times has the maximum wind speed reached 25 mph?"
159,bike_1,On which day and in which zip code was the min dew point lower than any day in zip code 94107?
160,bike_1,"Which days had a minimum dew point smaller than any day in zip code 94107, and in which zip codes were those measurements taken?"
161,bike_1,"For each trip, return its ending station's installation date."
162,bike_1,What is the installation date for each ending station on all the trips?
163,bike_1,Which trip started from the station with the largest dock count? Give me the trip id.
164,bike_1,What is the id of the trip that started from the station with the highest dock count?
165,bike_1,Count the number of trips that did not end in San Francisco city.
166,bike_1,How many trips did not end in San Francisco?
167,bike_1,"In zip code 94107, on which day neither Fog nor Rain was not observed?"
168,bike_1,On which day has it neither been foggy nor rained in the zip code of 94107?
169,bike_1,What are the ids of stations that have latitude above 37.4 and never had bike availability below 7?
170,bike_1,What are the ids of all stations that have a latitude above 37.4 and have never had less than 7 bikes available?
171,bike_1,What are names of stations that have average bike availability above 10 and are not located in San Jose city?
172,bike_1,What are the names of all stations that have more than 10 bikes available and are not located in San Jose?
173,bike_1,"What are the name, latitude, and city of the station with the lowest latitude?"
174,bike_1,"What is the name, latitude, and city of the station that is located the furthest South?"
175,bike_1,"What are the date, mean temperature and mean humidity for the top 3 days with the largest max gust speeds?"
176,bike_1,"What is the date, average temperature and mean humidity for the days with the 3 largest maximum gust speeds?"
177,bike_1,List the name and the number of stations for all the cities that have at least 15 stations.
178,bike_1,What is the name of every city that has at least 15 stations and how many stations does it have?
179,bike_1,Find the ids and names of stations from which at least 200 trips started.
180,bike_1,What are the ids and names of all start stations that were the beginning of at least 200 trips?
181,bike_1,Find the zip code in which the average mean visibility is lower than 10.
182,bike_1,"For each zip code, select all those that have an average mean visiblity below 10."
183,bike_1,List all the cities in a decreasing order of each city's stations' highest latitude.
184,bike_1,"For each city, list their names in decreasing order by their highest station latitude."
185,bike_1,What are the dates that had the top 5 cloud cover rates? Also tell me the cloud cover rate.
186,bike_1,What are the dates that have the 5 highest cloud cover rates and what are the rates?
187,bike_1,What are the ids and durations of the trips with the top 3 durations?
188,bike_1,What are the ids of the trips that lasted the longest and how long did they last?
189,bike_1,"For each station, return its longitude and the average duration of trips that started from the station."
190,bike_1,"For each start station id, what is its name, longitude and average duration of trips started there?"
191,bike_1,"For each station, find its latitude and the minimum duration of trips that ended at the station."
192,bike_1,"For each end station id, what is its name, latitude, and minimum duration for trips ended there?"
193,bike_1,List all the distinct stations from which a trip of duration below 100 started.
194,bike_1,What are all the different start station names for a trip that lasted less than 100?
195,bike_1,Find all the zip codes in which the max dew point have never reached 70.
196,bike_1,What are all the different zip codes that have a maximum dew point that was always below 70?
197,bike_1,Find the id for the trips that lasted at least as long as the average duration of trips in zip code 94103.
198,bike_1,What are the ids of all trips that had a duration as long as the average trip duration in the zip code 94103?
199,bike_1,What are the dates in which the mean sea level pressure was between 30.3 and 31?
200,bike_1,What are the dates that have an average sea level pressure between 30.3 and 31?
201,bike_1,Find the day in which the difference between the max temperature and min temperature was the smallest. Also report the difference.
202,bike_1,"What are the days that had the smallest temperature range, and what was that range?"
203,bike_1,What are the id and name of the stations that have ever had more than 12 bikes available?
204,bike_1,What are the different ids and names of the stations that have had more than 12 bikes available?
205,bike_1,Give me the zip code where the average mean humidity is below 70 and at least 100 trips took place.
206,bike_1,What are the zip codes that have an average mean humidity below 70 and had at least 100 trips come through there?
207,bike_1,What are the names of stations that are located in Palo Alto city but have never been the ending point of trips more than 100 times?
208,bike_1,What are the names of the stations that are located in Palo Alto but have never been the ending point of the trips
209,bike_1,How many trips started from Mountain View city and ended at Palo Alto city?
210,bike_1,How many trips stated from  a station in Mountain View and ended at one in Palo Alto?
211,bike_1,What is the average latitude and longitude of the starting points of all trips?
212,bike_1,What is the average latitude and longitude of all starting stations for the trips?
213,book_2,How many books are there?
214,book_2,List the writers of the books in ascending alphabetical order.
215,book_2,List the titles of the books in ascending order of issues.
216,book_2,"What are the titles of the books whose writer is not ""Elaine Lee""?"
217,book_2,What are the title and issues of the books?
218,book_2,What are the dates of publications in descending order of price?
219,book_2,What are the distinct publishers of publications with price higher than 5000000?
220,book_2,List the publisher of the publication with the highest price.
221,book_2,List the publication dates of publications with 3 lowest prices.
222,book_2,Show the title and publication dates of books.
223,book_2,Show writers who have published a book with price more than 4000000.
224,book_2,Show the titles of books in descending order of publication price.
225,book_2,Show publishers that have more than one publication.
226,book_2,Show different publishers together with the number of publications they have.
227,book_2,Please show the most common publication date.
228,book_2,List the writers who have written more than one book.
229,book_2,List the titles of books that are not published.
230,book_2,Show the publishers that have publications with price higher than 10000000 and publications with price lower than 5000000.
231,book_2,What is the number of distinct publication dates?
232,book_2,How many distinct publication dates are there in our record?
233,book_2,"Show the prices of publications whose publisher is either ""Person"" or ""Wiley"""
234,musical,How many actors are there?
235,musical,Count the number of actors.
236,musical,List the name of actors in ascending alphabetical order.
237,musical,"What are the names of actors, ordered alphabetically?"
238,musical,What are the characters and duration of actors?
239,musical,Return the characters and durations for each actor.
240,musical,List the name of actors whose age is not 20.
241,musical,What are the names of actors who are not 20 years old?
242,musical,What are the characters of actors in descending order of age?
243,musical,"Return the characters for actors, ordered by age descending."
244,musical,What is the duration of the oldest actor?
245,musical,Return the duration of the actor with the greatest age.
246,musical,"What are the names of musicals with nominee ""Bob Fosse""?"
247,musical,Return the names of musicals who have the nominee Bob Fosse.
248,musical,"What are the distinct nominees of the musicals with the award that is not ""Tony Award""?"
249,musical,Return the different nominees of musicals that have an award that is not the Tony Award.
250,musical,Show names of actors and names of musicals they are in.
251,musical,What are the names of actors and the musicals that they are in?
252,musical,"Show names of actors that have appeared in musical with name ""The Phantom of the Opera""."
253,musical,What are the names of actors who have been in the musical titled The Phantom of the Opera?
254,musical,Show names of actors in descending order of the year their musical is awarded.
255,musical,What are the names of actors ordered descending by the year in which their musical was awarded?
256,musical,Show names of musicals and the number of actors who have appeared in the musicals.
257,musical,How many actors have appeared in each musical?
258,musical,Show names of musicals which have at least three actors.
259,musical,What are the names of musicals who have at 3 or more actors?
260,musical,Show different nominees and the number of musicals they have been nominated.
261,musical,How many musicals has each nominee been nominated for?
262,musical,Please show the nominee who has been nominated the greatest number of times.
263,musical,Who is the nominee who has been nominated for the most musicals?
264,musical,List the most common result of the musicals.
265,musical,Return the most frequent result across all musicals.
266,musical,List the nominees that have been nominated more than two musicals.
267,musical,Who are the nominees who have been nominated more than two times?
268,musical,List the name of musicals that do not have actors.
269,musical,What are the names of musicals who have no actors?
270,musical,"Show the nominees that have nominated musicals for both ""Tony Award"" and ""Drama Desk Award""."
271,musical,Who are the nominees who have been nominated for both a Tony Award and a Drama Desk Award?
272,musical,"Show the musical nominee with award ""Bob Fosse"" or ""Cleavant Derricks""."
273,musical,Who are the nominees who were nominated for either of the Bob Fosse or Cleavant Derricks awards?
274,twitter_1,"Find the emails of the user named ""Mary""."
275,twitter_1,"What is the partition id of the user named ""Iron Man""."
276,twitter_1,How many users are there?
277,twitter_1,How many followers does each user have?
278,twitter_1,Find the number of followers for each user.
279,twitter_1,Find the number of tweets in record.
280,twitter_1,Find the number of users who posted some tweets.
281,twitter_1,Find the name and email of the user whose name contains the word ‘Swift’.
282,twitter_1,Find the names of users whose emails contain ‘superstar’ or ‘edu’.
283,twitter_1,Return the text of tweets about the topic 'intern'.
284,twitter_1,Find the name and email of the users who have more than 1000 followers.
285,twitter_1,"Find the names of the users whose number of followers is greater than that of the user named ""Tyler Swift""."
286,twitter_1,Find the name and email for the users who have more than one follower.
287,twitter_1,Find the names of users who have more than one tweet.
288,twitter_1,Find the id of users who are followed by Mary and Susan.
289,twitter_1,Find the id of users who are followed by Mary or Susan.
290,twitter_1,Find the name of the user who has the largest number of followers.
291,twitter_1,Find the name and email of the user followed by the least number of people.
292,twitter_1,"List the name and number of followers for each user, and sort the results by the number of followers in descending order."
293,twitter_1,List the names of 5 users followed by the largest number of other users.
294,twitter_1,List the text of all tweets in the order of date.
295,twitter_1,Find the name of each user and number of tweets tweeted by each of them.
296,twitter_1,Find the name and partition id for users who tweeted less than twice.
297,twitter_1,"Find the name of the user who tweeted more than once, and number of tweets tweeted by them."
298,twitter_1,Find the average number of followers for the users who do not have any tweet.
299,twitter_1,Find the average number of followers for the users who had some tweets.
300,twitter_1,Find the maximum and total number of followers of all users.
301,product_catalog,Find the names of all the catalog entries.
302,product_catalog,What are all the catalog entry names?
303,product_catalog,Find the list of attribute data types possessed by more than 3 attribute definitions.
304,product_catalog,What are the attribute data types with more than 3 attribute definitions?
305,product_catalog,"What is the attribute data type of the attribute with name ""Green""?"
306,product_catalog,"Find the attribute data type for the attribute named ""Green""."
307,product_catalog,Find the name and level of catalog structure with level between 5 and 10.
308,product_catalog,What are the name and level of catalog structure with level number between 5 and 10
309,product_catalog,"Find all the catalog publishers whose name contains ""Murray"""
310,product_catalog,"Which catalog publishers have substring ""Murray"" in their names?"
311,product_catalog,Which catalog publisher has published the most catalogs?
312,product_catalog,Find the catalog publisher that has the most catalogs.
313,product_catalog,Find the names and publication dates of all catalogs that have catalog level number greater than 5.
314,product_catalog,What are the name and publication date of the catalogs with catalog level number above 5?
315,product_catalog,What are the entry names of catalog with the attribute possessed by most entries.
316,product_catalog,Find the entry names of the catalog with the attribute that have the most entries.
317,product_catalog,What is the entry name of the most expensive catalog (in USD)?
318,product_catalog,Find the entry name of the catalog with the highest price (in USD).
319,product_catalog,What is the level name of the cheapest catalog (in USD)?
320,product_catalog,Find the level name of the catalog with the lowest price (in USD).
321,product_catalog,What are the average and minimum price (in Euro) of all products?
322,product_catalog,Give me the average and minimum price (in Euro) of the products.
323,product_catalog,What is the product with the highest height? Give me the catalog entry name.
324,product_catalog,Which catalog content has the highest height? Give me the catalog entry name.
325,product_catalog,Find the name of the product that has the smallest capacity.
326,product_catalog,Which catalog content has the smallest capacity? Return the catalog entry name.
327,product_catalog,"Find the names of all the products whose stock number starts with ""2""."
328,product_catalog,"Which catalog contents have a product stock number that starts from ""2""? Show the catalog entry names."
329,product_catalog,Find the names of catalog entries with level number 8.
330,product_catalog,What are the names of catalog entries with level number 8?
331,product_catalog,Find the names of the products with length smaller than 3 or height greater than 5.
332,product_catalog,Which catalog contents have length below 3 or above 5? Find the catalog entry names.
333,product_catalog,Find the name and attribute ID of the attribute definitions with attribute value 0.
334,product_catalog,Which attribute definitions have attribute value 0? Give me the attribute name and attribute ID.
335,product_catalog,Find the name and capacity of products with price greater than 700 (in USD).
336,product_catalog,Which catalog contents has price above 700 dollars? Show their catalog entry names and capacities.
337,product_catalog,Find the dates on which more than one revisions were made.
338,product_catalog,On which days more than one revisions were made on catalogs.
339,product_catalog,How many products are there in the records?
340,product_catalog,Find the total number of catalog contents.
341,product_catalog,Name all the products with next entry ID greater than 8.
342,product_catalog,What are the catalog entry names of the products with next entry ID above 8?
343,flight_1,How many aircrafts do we have?
344,flight_1,How many aircrafts exist in the database?
345,flight_1,Show name and distance for all aircrafts.
346,flight_1,What are the names and distances for all airplanes?
347,flight_1,Show ids for all aircrafts with more than 1000 distance.
348,flight_1,What are the ids of all aircrafts that can cover a distance of more than 1000?
349,flight_1,How many aircrafts have distance between 1000 and 5000?
350,flight_1,What is the count of aircrafts that have a distance between 1000 and 5000?
351,flight_1,What is the name and distance for aircraft with id 12?
352,flight_1,What is the name and distance for the aircraft that has an id of 12?
353,flight_1,"What is the minimum, average, and maximum distance of all aircrafts."
354,flight_1,"Return the minimum, average and maximum distances traveled across all aircrafts."
355,flight_1,Show the id and name of the aircraft with the maximum distance.
356,flight_1,What is the id and name of the aircraft that can cover the maximum distance?
357,flight_1,Show the name of aircrafts with top three lowest distances.
358,flight_1,What are the aircrafts with top 3 shortest lengthes? List their names.
359,flight_1,Show names for all aircrafts with distances more than the average.
360,flight_1,What are the names of all aircrafts that can cover more distances than average?
361,flight_1,How many employees do we have?
362,flight_1,What is the number of employees?
363,flight_1,Show name and salary for all employees sorted by salary.
364,flight_1,What is the name and salary of all employees in order of salary?
365,flight_1,Show ids for all employees with at least 100000 salary.
366,flight_1,What is the id of every employee who has at least a salary of  100000?
367,flight_1,How many employees have salary between 100000 and 200000?
368,flight_1,What is the number of employees that have a salary between 100000 and 200000?
369,flight_1,What is the name and salary for employee with id 242518965?
370,flight_1,What is the name and salary of the employee with the id 242518965?
371,flight_1,What is average and maximum salary of all employees.
372,flight_1,What is the average and largest salary of all employees?
373,flight_1,Show the id and name of the employee with maximum salary.
374,flight_1,What is the id and name of the employee with the highest salary?
375,flight_1,Show the name of employees with three lowest salaries.
376,flight_1,What is the name of the 3 employees who get paid the least?
377,flight_1,Show names for all employees with salary more than the average.
378,flight_1,What are the names of all employees who have a salary higher than average?
379,flight_1,Show the id and salary of Mark Young.
380,flight_1,What is the id and salary of the employee named Mark Young?
381,flight_1,How many flights do we have?
382,flight_1,What is the number of flights?
383,flight_1,"Show flight number, origin, destination of all flights in the alphabetical order of the departure cities."
384,flight_1,"What is the flight number, origin, and destination for all flights in alphabetical order by departure cities?"
385,flight_1,Show all flight number from Los Angeles.
386,flight_1,What are the numbers of all flights coming from Los Angeles?
387,flight_1,Show origins of all flights with destination Honolulu.
388,flight_1,What are the origins of all flights that are headed to Honolulu?
389,flight_1,Show me the departure date and arrival date for all flights from Los Angeles to Honolulu.
390,flight_1,What are the departure and arrival dates of all flights from LA to Honolulu?
391,flight_1,Show flight number for all flights with more than 2000 distance.
392,flight_1,What are the numbers of all flights that can cover a distance of more than 2000?
393,flight_1,What is the average price for flights from Los Angeles to Honolulu.
394,flight_1,What is the average price for flights from LA to Honolulu?
395,flight_1,Show origin and destination for flights with price higher than 300.
396,flight_1,What is the origin and destination for all flights whose price is higher than 300?
397,flight_1,Show the flight number and distance of the flight with maximum price.
398,flight_1,What is the flight number and its distance for the one with the maximum price?
399,flight_1,Show the flight number of flights with three lowest distances.
400,flight_1,What are the numbers of the shortest flights?
401,flight_1,What is the average distance and average price for flights from Los Angeles.
402,flight_1,What is the average distance and price for all flights from LA?
403,flight_1,Show all origins and the number of flights from each origin.
404,flight_1,"For each origin, how many flights came from there?"
405,flight_1,Show all destinations and the number of flights to each destination.
406,flight_1,What are the destinations and number of flights to each one?
407,flight_1,Which origin has most number of flights?
408,flight_1,What place has the most flights coming from there?
409,flight_1,Which destination has least number of flights?
410,flight_1,What destination has the fewest number of flights?
411,flight_1,What is the aircraft name for the flight with number 99
412,flight_1,What is the name of the aircraft that was on flight number 99?
413,flight_1,Show all flight numbers with aircraft Airbus A340-300.
414,flight_1,What are the flight numbers for the aircraft Airbus A340-300?
415,flight_1,Show aircraft names and number of flights for each aircraft.
416,flight_1,What is the name of each aircraft and how many flights does each one complete?
417,flight_1,Show names for all aircraft with at least two flights.
418,flight_1,What are the names for all aircrafts with at least 2 flights?
419,flight_1,How many employees have certificate.
420,flight_1,What is the count of distinct employees with certificates?
421,flight_1,Show ids for all employees who don't have a certificate.
422,flight_1,What are the ids of all employees that don't have certificates?
423,flight_1,Show names for all aircrafts of which John Williams has certificates.
424,flight_1,What are the names of all aircrafts that John Williams have certificates to be able to fly?
425,flight_1,Show names for all employees who have certificate of Boeing 737-800.
426,flight_1,What are the names of all employees who have a certificate to fly Boeing 737-800?
427,flight_1,Show names for all employees who have certificates on both Boeing 737-800 and Airbus A340-300.
428,flight_1,What are the names of all employees who can fly both the Boeing 737-800 and the Airbus A340-300?
429,flight_1,Show names for all employees who do not have certificate of Boeing 737-800.
430,flight_1,What are the names of all employees who are not certified to fly Boeing 737-800s?
431,flight_1,Show the name of aircraft which fewest people have its certificate.
432,flight_1,What are the names of the aircraft that the least people are certified to fly?
433,flight_1,Show the name and distance of the aircrafts with more than 5000 distance and which at least 5 people have its certificate.
434,flight_1,What is the name and distance of every aircraft that can cover a distance of more than 5000 and which at least 5 people can fly?
435,flight_1,what is the salary and name of the employee who has the most number of aircraft certificates?
436,flight_1,What is the salaray and name of the employee that is certified to fly the most planes?
437,flight_1,What is the salary and name of the employee who has the most number of certificates on aircrafts with distance more than 5000?
438,flight_1,What is the salaray and name of the employee with the most certificates to fly planes more than 5000?
439,allergy_1,How many allergies are there?
440,allergy_1,How many allergy entries are there?
441,allergy_1,How many different allergy types exist?
442,allergy_1,How many distinct allergies are there?
443,allergy_1,Show all allergy types.
444,allergy_1,What are the different allergy types?
445,allergy_1,Show all allergies and their types.
446,allergy_1,What are the allergies and their types?
447,allergy_1,Show all allergies with type food.
448,allergy_1,What are all the different food allergies?
449,allergy_1,What is the type of allergy Cat?
450,allergy_1,What is allergy type of a cat allergy?
451,allergy_1,How many allergies have type animal?
452,allergy_1,How many animal type allergies exist?
453,allergy_1,Show all allergy types and the number of allergies in each type.
454,allergy_1,What are the allergy types and how many allergies correspond to each one?
455,allergy_1,Which allergy type has most number of allergies?
456,allergy_1,Which allergy type is most common?
457,allergy_1,Which allergy type has least number of allergies?
458,allergy_1,Which allergy type is the least common?
459,allergy_1,How many students are there?
460,allergy_1,What is the total number of students?
461,allergy_1,Show first name and last name for all students.
462,allergy_1,What are the full names of all students
463,allergy_1,How many different advisors are listed?
464,allergy_1,How many advisors are there?
465,allergy_1,Show all majors.
466,allergy_1,What are the different majors?
467,allergy_1,Show all cities where students live.
468,allergy_1,What cities do students live in?
469,allergy_1,"Show first name, last name, age for all female students. Their sex is F."
470,allergy_1,What are the full names and ages for all female students whose sex is F?
471,allergy_1,Show student ids for all male students.
472,allergy_1,What are the student ids for all male students?
473,allergy_1,How many students are age 18?
474,allergy_1,How many students are 18 years old?
475,allergy_1,Show all student ids who are older than 20.
476,allergy_1,What are the student ids for students over 20 years old?
477,allergy_1,"Which city does the student whose last name is ""Kim"" live in?"
478,allergy_1,Give the city that the student whose family name is Kim lives in.
479,allergy_1,Who is the advisor of student with ID 1004?
480,allergy_1,Who advises student 1004?
481,allergy_1,How many students live in HKG or CHI?
482,allergy_1,Give the number of students living in either HKG or CHI.
483,allergy_1,"Show the minimum, average, and maximum age of all students."
484,allergy_1,"What is the minimum, mean, and maximum age across all students?"
485,allergy_1,What is the last name of the youngest student?
486,allergy_1,Provide the last name of the youngest student.
487,allergy_1,Show the student id of the oldest student.
488,allergy_1,What student id corresponds to the oldest student?
489,allergy_1,Show all majors and corresponding number of students.
490,allergy_1,How many students are there for each major?
491,allergy_1,Which major has most number of students?
492,allergy_1,What is the largest major?
493,allergy_1,Show all ages and corresponding number of students.
494,allergy_1,How old is each student and how many students are each age?
495,allergy_1,Show the average age for male and female students.
496,allergy_1,What are the average ages for male and female students?
497,allergy_1,Show all cities and corresponding number of students.
498,allergy_1,How many students live in each city?
499,allergy_1,Show all advisors and corresponding number of students.
500,allergy_1,How many students does each advisor have?
501,allergy_1,Which advisor has most number of students?
502,allergy_1,Give the advisor with the most students.
503,allergy_1,How many students have cat allergies?
504,allergy_1,How many students are affected by cat allergies?
505,allergy_1,Show all student IDs who have at least two allergies.
506,allergy_1,What are the students ids of students who have more than one allergy?
507,allergy_1,What are the student ids of students who don't have any allergies?
508,allergy_1,Which students are unaffected by allergies?
509,allergy_1,How many female students have milk or egg allergies?
510,allergy_1,How many students who are female are allergic to milk or eggs?
